priority ,date,show,with,venue,notes
TRUE,29/07/2015,Third Eye Blind ,,Downtown Artery,
,15/10/2015,Wasteland Hop ,The Quick and Easy Boys ,Downtown Artery,
,16/10/2015,Matthew Wilburn of Tallgrass,"Mitchel Evan & The Mangrove, Clyde Mcgee, Derek Blake",Downtown Artery,
,22/10/2015,Vinyl Williams,,Downtown Artery,
,27/10/2015,The Stone Foxes ,,,in collaboration with Mishawaka Amphitheatre 
,30/10/2015,The Swashbuckling Doctors,Blue Taboo,Downtown Artery,
,31/10/2015,Stella Luce ,"Pep Squad, Senorita Sometimes, Harpoon the Whale",Downtown Artery,
,06/11/2015,Elephant Wrecking Ball ft Scott Fynn of Pretty Lights Live,,Downtown Artery,
,13/11/2015,Natalie Tate,,Downtown Artery,
,14/11/2015,Flaural,Spirit Award,Downtown Artery,
TRUE,17/12/2015, Dave Bruzza (of Greensky Bluegrass),"Finnders and Youngberg, Benny ""Burle"" Galloway",Downtown Artery,
,31/12/2015,The Holler!,,Downtown Artery,
,09/01/2016,Tyto Alba,The Velveteers,Downtown Artery,
,15/01/2016, Rob Drabkin,Liz Barnez,Downtown Artery,
,22/01/2016,Shatterproof,,Downtown Artery,
TRUE,29/01/2016,Roger Clyne and the Peacemakers,Jim Dalton,Downtown Artery,
,30/01/2016,Inner Oceans,,Downtown Artery,
,01/02/2016, Underhill Family Orchestra,Young Valley,Downtown Artery,
,06/02/2016,Haunted Windchimes,,Downtown Artery,
,13/02/2016,Pandas and People,"Walk By Sea, Edison ",Downtown Artery,
,03/03/2016,The Lonelyhearts,"CovenHoven, Sour Boy, Bitter Girl",Downtown Artery,
,05/03/2016,Sound Of Ceres,,Downtown Artery,
,10/03/2016,Chieftan ,Wake Breakers,Downtown Artery,
,22/03/2016,Mothers,,Downtown Artery,
,20/04/2016,Whippoorwil ,"Von Stomper, The Deer",Downtown Artery,
,21/04/2016,Great American Taxi,,Downtown Artery,
,25/04/2016,Animal Years,,Downtown Artery,
,28/04/2016,L.A. Witch ,"Serpentfoot, Bandits",Downtown Artery,
,29/04/2016,Magic Sword,"Sound Of Ceres, Strange Powers",Downtown Artery,
,14/05/2016,The Ugly Architect,"Chase Burnett and Kelly Vogel, The Query",Downtown Artery,
,21/05/2016,Megan Wild Rice,"The 14ers Music, The Moved,",Downtown Artery,
,02/06/2016,"FOCO HIP HOP SUMMER BASH feat TX2, Rob The Galaxy, Mystic I, Prexcher and Vzyua",,Downtown Artery,
,18/06/2016,Amy and the Peace Pipes,"Highjacked, Blue Mesa",Downtown Artery,
,30/06/2016,Nearby Liars,"The Ugly Architect, Places Back Home, We are Forests",Downtown Artery,
,02/07/2016,Senorita Sometimes,"The Symbols, Little Vicious",Downtown Artery,
,09/07/2016,the Outfit,"Holdfast, Quiet Oaks",Downtown Artery,
,12/07/2016,Little Tybee,,Downtown Artery,
,14/07/2016,Al Scorch,,Downtown Artery,
,19/07/2016,Mimicking Birds,Turvy Organ,Downtown Artery,
,21/07/2016,Dave Tamkin,Dan Hubbard,Downtown Artery,
,23/07/2016,Bryan John Appleby,"Luke Callen ( Von Stomper), Patrick Dethlefs",Downtown Artery,
,29/07/2016,Edison,,Downtown Artery,
,30/07/2016,Helvetia,"Plum EP Release, Slow Caves",Downtown Artery,
TRUE,31/07/2016,Methyl Ethel,"Inner Oceans, Flaural",Downtown Artery,
,18/08/2016,Carly and the Universe,Valley Queen,Downtown Artery,
,25/08/2016,Bob Schenider ,,,in collaboration with Mishawaka Amphitheatre 
,26/08/2016,Silversun Pickups ,,,in collaboration with 94.3 The X 
,26/08/2016,Nerd Prom!,,Downtown Artery,
,10/09/2016,Gringo Star,,Downtown Artery,
,15/09/2016,Blitzen Trapper,Kacy and Clayton,Downtown Artery,
,22/09/2016,Michael Kirkpatrick and Honey Rider Band,"Caribou Mountain Collective, Benny ""Burle"" Galloway, Grant Farm",Downtown Artery,
,25/09/2016,Roger Clyne and the Peacemakers,,Downtown Artery,
,30/09/2016,Native Daughters,"Chieftain, I Am The Owl, Men Of Letters",Downtown Artery,
,08/10/2016,Bike Prom,,Downtown Artery,
,18/10/2016,Vinyl Williams,,Downtown Artery,
TRUE,21/10/2016,Erika Wennerstrom (of Heartless Bastards),,Downtown Artery,
,22/10/2016,Loch Lomond,The River Arkansas,Downtown Artery,
,27/10/2016,I Am The Owl,"Stilted, Combatillac",Downtown Artery,
,03/11/2016,Shel,,Downtown Artery,
TRUE,04/11/2016,William Fitzsimmons,Laura Burhenn (of The Mynabirds),Downtown Artery,
,10/11/2016,Chess at Breakfast,"Sharone and The Wind, Sam Vega",Downtown Artery,
,11/11/2016,Trails and Ways,,Downtown Artery,
,17/11/2016,Flaural,Slow Caves,Downtown Artery,
,18/11/2016,"Jennifer Hall, Places Back Home",,Downtown Artery,
